"ID","MonthlyIncome"
871,5963.9352226403
872,2410.19557291257
873,12593.9395687535
874,2770.59069686941
875,2688.97525297803
876,6320.92876825135
877,5736.57939435438
878,1878.30116840695
879,2704.13798267882
880,12637.8916020589
881,9976.06760166274
882,2814.22124704162
883,5691.40422258192
884,5528.58478534127
885,6125.42096625154
886,5785.64021503621
887,6163.97581053086
888,6046.81210410982
889,5424.41704643048
890,2665.1868086969
891,5646.17366182188
892,8806.54006835749
893,8577.33381006715
894,5447.17197774413
895,9938.78920645064
896,9299.18804128921
897,8851.91126472925
898,16020.7051436395
899,5697.71994253256
900,2467.62490064614
901,2278.34427083247
902,6055.18232299705
903,6414.90534602385
904,3064.89637856708
905,16401.8153870211
906,5472.21122270111
907,9498.02210969844
908,5944.45392446524
909,2149.83181146367
910,2284.73819581338
911,18864.0100548767
912,2933.81685243323
913,2288.99087916443
914,12722.9346725523
915,5798.26570753149
916,5140.60961106171
917,2552.32825403149
918,6030.56458136516
919,2306.71840006996
920,2508.23257694201
921,2483.7128938422
922,2207.29705066899
923,5602.77829885316
924,5567.77030585401
925,16892.6002170705
926,2249.98461510203
927,6173.71707705408
928,13240.2346074795
929,2152.58071405763
930,2490.70475999757
931,6567.01609808724
932,12053.6084917864
933,8613.99726255391
934,2350.72047841748
935,2244.78482757759
936,2465.99644735283
937,9114.5019937556
938,9210.33532101152
939,6660.95860522038
940,2590.63850290154
941,3054.04940407238
942,9181.2751329089
943,9678.11334044442
944,5908.57248285526
945,2103.91908305995
946,5738.58479511058
947,2816.66831476192
948,2464.28978065625
949,2109.12973284793
950,5704.04678585915
951,3370.34845221675
952,5802.05942147481
953,5686.47180974483
954,2347.49430737355
955,5602.56357271938
956,8224.69426875777
957,10420.2225631331
958,2584.65145319616
959,9679.26884953407
960,19552.4320002167
961,2493.10966716593
962,5393.27915139405
963,6387.19053027168
964,5214.95196946532
965,2126.04641090329
966,18631.426139971
967,2801.1371983306
968,8907.48464580744
969,16726.7017944184
970,2346.10357752384
971,6256.14344650646
972,5720.37667762256
973,2674.75529929483
974,2197.96687811123
975,5597.7727958063
976,2510.35396256809
977,6625.46870216899
978,2708.14480126506
979,9067.7883911409
980,19152.5579397273
981,2401.57741618181
982,8817.29047917188
983,2333.4282462716
984,2539.56132935024
985,5896.07626186284
986,2830.50225302199
987,2719.46643537265
988,5800.6701212077
989,9693.90655104428
990,2627.37392698526
991,5515.23549134561
992,2817.47830335609
993,5445.61225083547
994,5589.21488342325
995,5443.43577695344
996,5741.74782763489
997,2650.05374029374
998,16372.9729023866
999,9072.95484608684
1000,2139.65438009644
1001,5739.60350950243
1002,5133.62043174411
1003,5718.43468220248
1004,6736.3881015356
1005,2852.29344793621
1006,5889.19289908059
1007,2424.46649281787
1008,5833.32615506462
1009,18937.8150362619
1010,5749.29022149127
1011,9232.77209886215
1012,5452.92742860923
1013,5664.59388683013
1014,5916.69401043696
1015,5422.78816937354
1016,2943.03223932485
1017,2495.8455372025
1018,8697.42324552223
1019,8625.74732675056
1020,2442.52036863057
1021,5879.33951457473
1022,5484.55408397747
1023,5963.35159100642
1024,10075.2728839129
1025,16038.0282898922
1026,19133.5463944529
1027,5241.11169641365
1028,5433.0316116327
1029,5173.06810810855
1030,9345.59636961513
1031,5660.86226822189
1032,3079.10912223472
1033,12479.4589649748
1034,2401.50862072557
1035,5521.0797959362
1036,2181.91401936272
1037,5345.44401532495
1038,8689.23634452384
1039,12700.5250304572
1040,5590.92519983632
1041,2446.59784432687
1042,2984.94789966883
1043,8798.32365964841
1044,6734.23258033211
1045,3161.55543827896
1046,2387.51356979911
1047,6413.95348262645
1048,12323.8654008248
1049,2520.8619110746
1050,5866.57662662003
1051,10419.1342911062
1052,2365.76971051211
1053,5792.11350661316
1054,2597.41458404366
1055,3079.94883018927
1056,2528.21575795117
1057,6038.11178100282
1058,15960.7420069741
1059,6237.05682851284
1060,2713.51697096128
1061,6292.47381774899
1062,6368.133787746
1063,6458.43507915476
1064,2533.72334038153
1065,5996.3369537
1066,2609.58814243726
1067,3638.62682070359
1068,19505.5646907124
1069,5796.60333174652
1070,2675.40825130297
1071,2672.21932250883
1072,6359.92462274974
1073,2750.59015231028
1074,6309.74383694571
1075,5637.99002723023
1076,16204.1744633644
1077,18838.4326411281
1078,5636.67296814003
1079,5432.71564878934
1080,6003.28868039956
1081,3354.63456996736
1082,2730.96289475269
1083,2445.03317124826
1084,6197.08911176024
1085,8996.25344664485
1086,9185.91027199982
1087,5849.56379665153
1088,2625.65038710377
1089,2747.68664830701
1090,5774.87092977759
1091,5545.6295311727
1092,6658.28519713824
1093,12402.9640716415
1094,5716.02836553329
1095,5593.98171489296
1096,5860.27692497929
1097,2975.14450111327
1098,2476.88028508169
1099,2476.00755077792
1100,6697.49288974008
1101,18660.6140817848
1102,5415.81935100939
1103,6004.87831880516
1104,9924.13184993922
1105,2731.74216405536
1106,2611.46497831828
1107,3024.13427849442
1108,4919.06307858069
1109,5489.58405326826
1110,5985.23194620777
1111,6264.56177521884
1112,13073.7198765478
1113,12778.6981461557
1114,6315.62064754974
1115,9951.8788037495
1116,2654.59026822006
1117,6605.57555610474
1118,5295.58649375524
1119,9476.32253276318
1120,2774.96392806043
1121,9604.07979951305
1122,16537.4455799436
1123,6152.51400566101
1124,15969.6381950514
1125,2201.45439257395
1126,1914.42852739996
1127,2198.38403908127
1128,5025.06484135403
1129,16087.0604542804
1130,2556.18414379682
1131,12283.0106467888
1132,15927.0331321881
1133,5876.40073471435
1134,2112.6143841113
1135,2419.64856492824
1136,2611.24085870637
1137,2768.94811890238
1138,6060.35227185738
1139,9180.19017405711
1140,15813.0361115065
1141,5912.71398937788
1142,5724.30345550473
1143,9694.34962424594
1144,5487.67209743034
1145,5943.7716561519
1146,5726.78383397563
1147,5591.27350525504
1148,2311.31968694262
1149,2562.44556086072
1150,5893.59676669881
1151,2722.62035651238
1152,5901.49927525078
1153,5968.88275069159
1154,1839.66192837245
1155,6441.20255788467
1156,11940.2417792949
1157,2251.22117139021
1158,5910.48706120224
1159,2823.24243579853
1160,6208.38782898155
1161,2898.93497621726
1162,8764.08037880067
1163,3158.16416897655
1164,8700.71629289247
1165,2492.72944020579
1166,2208.65854077073
1167,8834.65712663246
